              coef.base_model.      X2.5..    X97.5..
DMDEDUC25:BMI_category3          1.116011380  -0.181748872  2.413771632
DMDEDUC22:LBDCOTLC1             -0.228125741  -1.234730419  0.778478938
DMDEDUC23:LBDCOTLC1             -0.685666924  -1.549560525  0.178226676
DMDEDUC24:LBDCOTLC1             -0.564312487  -1.393073920  0.264448946
DMDEDUC25:LBDCOTLC1             -0.269967413  -1.340267349  0.800332523
DMDEDUC22:ALQ1012                0.102491056  -1.155441721  1.360423832
DMDEDUC23:ALQ1012                0.146844135  -1.148740255  1.442428525
DMDEDUC24:ALQ1012               -0.351128652  -1.533888322  0.831631017
DMDEDUC25:ALQ1012                0.093291369  -0.825139237  1.011721974
DMDMARTL2:age_cluster2           0.201126054  -2.841534511  3.243786619
DMDMARTL3:age_cluster2           0.049269153  -1.149586470  1.248124776
DMDMARTL4:age_cluster2          -1.190726597  -2.234660301 -0.146792893
DMDMARTL5:age_cluster2          -0.208577979  -0.641244443  0.224088485
DMDMARTL6:age_cluster2           0.212032515  -0.444271946  0.868336975
DMDMARTL2:age_cluster3          -0.375283883  -3.120144893  2.369577127
DMDMARTL3:age_cluster3           0.009121445  -1.097803818  1.116046708
DMDMARTL4:age_cluster3          -1.152947741  -3.770101539  1.464206057
DMDMARTL5:age_cluster3           0.680412508  -0.592062513  1.952887530
DMDMARTL6:age_cluster3           2.540504238   0.094486456  4.986522021
DMDMARTL2:FIPR_cluster2          2.495653738   0.666421068  4.324886409
DMDMARTL3:FIPR_cluster2          0.289112216  -0.900108064  1.478332496
DMDMARTL4:FIPR_cluster2          0.277239182  -1.370882901  1.925361264
DMDMARTL5:FIPR_cluster2         -0.194717968  -1.183429644  0.793993709
DMDMARTL6:FIPR_cluster2          0.569018075  -0.462668326  1.600704476
DMDMARTL2:FIPR_cluster3          1.233570351  -0.871436131  3.338576832
DMDMARTL3:FIPR_cluster3          0.199241156  -0.677551316  1.076033628
DMDMARTL4:FIPR_cluster3          0.934535438   0.003248514  1.865822363
DMDMARTL5:FIPR_cluster3          0.394444203  -0.442164099  1.231052505
DMDMARTL6:FIPR_cluster3          0.142873493  -0.835201823  1.120948808
DMDMARTL2:BMI_category1         -1.367930904 -28.840628095 26.104766287
DMDMARTL3:BMI_category1         19.519403511  -9.083214186 48.122021208
DMDMARTL4:BMI_category1          8.315524077  -7.719672674 24.350720827
DMDMARTL5:BMI_category1        -13.343960986 -35.650604440  8.962682468
DMDMARTL6:BMI_category1        -20.293464252 -37.140215807 -3.446712698
DMDMARTL2:BMI_category2          0.048098232  -1.055124770  1.151321233
DMDMARTL3:BMI_category2         -0.823696173  -1.444945963 -0.202446383
DMDMARTL4:BMI_category2          0.007336048  -0.823374552  0.838046649
DMDMARTL5:BMI_category2          0.186564426  -0.664093909  1.037222762
DMDMARTL6:BMI_category2          0.554534890  -0.657886371  1.766956152
DMDMARTL2:BMI_category3         -0.570269221  -1.701334670  0.560796228
DMDMARTL3:BMI_category3         -0.058966674  -0.587729428  0.469796080
DMDMARTL4:BMI_category3          1.277651128   0.193301217  2.362001040
DMDMARTL5:BMI_category3          0.497851161  -0.208309800  1.204012122
DMDMARTL6:BMI_category3          1.033200250  -0.532510665  2.598911165
DMDMARTL2:LBDCOTLC1              0.476073542  -1.012733723  1.964880806
DMDMARTL3:LBDCOTLC1             -0.067435698  -1.012546554  0.877675159
DMDMARTL4:LBDCOTLC1              0.294042749  -1.143389930  1.731475428
DMDMARTL5:LBDCOTLC1              0.943161709   0.133729799  1.752593619
DMDMARTL6:LBDCOTLC1              1.190366371   0.315459902  2.065272841
DMDMARTL2:ALQ1012                0.249289642  -0.800685775  1.299265060
DMDMARTL3:ALQ1012               -0.088183867  -0.827218465  0.650850731
DMDMARTL4:ALQ1012               -0.818625398  -2.442421948  0.805171152
DMDMARTL5:ALQ1012               -0.279267018  -0.898619111  0.340085076
DMDMARTL6:ALQ1012               -0.443861647  -1.498382296  0.610659002
age_cluster2:FIPR_cluster2      -0.111621766  -1.054978694  0.831735163
age_cluster3:FIPR_cluster2      -0.180384095  -1.626605111  1.265836921
age_cluster2:FIPR_cluster3      -0.542123445  -1.305598106  0.221351215
age_cluster3:FIPR_cluster3      -0.896560085  -2.020427889  0.227307720
age_cluster2:BMI_category1      -4.493874113 -12.462033931  3.474285704
age_cluster3:BMI_category1      12.257975941 -10.903161644 35.419113525
age_cluster2:BMI_category2       0.188201568  -0.359117891  0.735521027
age_cluster3:BMI_category2       0.495143576  -0.387732390  1.378019543
age_cluster2:BMI_category3      -0.016758686  -0.565433143  0.531915771
age_cluster3:BMI_category3      -0.034842247  -0.934117434  0.864432939
age_cluster2:LBDCOTLC1           0.779873489   0.222396723  1.337350255
age_cluster3:LBDCOTLC1           0.451957127  -0.315800065  1.219714318
age_cluster2:ALQ1012             0.403066707  -0.049233089  0.855366503
age_cluster3:ALQ1012             0.366903288  -0.497237587  1.231044163
FIPR_cluster2:BMI_category1     -4.657304739 -14.370089615  5.055480137
FIPR_cluster3:BMI_category1    -10.910621562 -27.850004493  6.028761368
FIPR_cluster2:BMI_category2      0.560641337  -0.596758118  1.718040792
FIPR_cluster3:BMI_category2      0.813046937   0.119755947  1.506337927
FIPR_cluster2:BMI_category3      0.745852779  -0.103170186  1.594875745
FIPR_cluster3:BMI_category3      1.076532637   0.391872797  1.761192478
FIPR_cluster2:LBDCOTLC1          0.308495509  -0.291931665  0.908922682
FIPR_cluster3:LBDCOTLC1          0.208171304  -0.115891697  0.532234305
FIPR_cluster2:ALQ1012            0.018429459  -0.631233393  0.668092312
FIPR_cluster3:ALQ1012            0.165432059  -0.331315316  0.662179435
BMI_category1:LBDCOTLC1         17.369874486 -11.086040913 45.825789885
BMI_category2:LBDCOTLC1         -0.106549083  -0.804898285  0.591800119
BMI_category3:LBDCOTLC1         -0.057809005  -0.686109556  0.570491546
BMI_category1:ALQ1012           -1.435284281  -6.437820948  3.567252386
BMI_category2:ALQ1012            0.090175814  -0.610502623  0.790854251
BMI_category3:ALQ1012            0.559234854  -0.129345760  1.247815467
LBDCOTLC1:ALQ1012                0.338843573  -0.073639252  0.751326398

  Cutoff Missclassification Sensitivity Specificity       AuC
1   0.54             0.2635   0.7431151   0.7286698 0.8088594

Confusion matrix
The columns are actuals, while rows are predicteds
     0    1
0 1375  569
1  512 1646
