"SEQN","SDDSRVYR","RIDSTATR","WTINT2YR","WTMEC2YR","SDMVPSU","SDMVSTRA","RIAGENDR","RIDAGEYR","RIDRETH3","DMDEDUC2","DMDMARTL","INDFMPIR","age_cluster","FIPR_cluster"
86052,9,2,34987.574394,35880.833947,1,130,1,59,3,4,6,0.68,2,1
86053,9,2,13923.699083,14569.211236,2,133,2,57,1,1,1,3.75,2,3
86055,9,2,15589.169349,16798.535758,2,125,1,80,3,4,2,1.64,3,2
86056,9,2,42836.756688,44019.426048,1,127,2,33,3,4,1,2.11,1,2
86057,9,2,143441.596465,148266.416737,2,121,1,46,3,5,1,5,2,3
86058,9,2,134473.663885,139438.749817,1,127,2,51,3,3,3,3.74,2,3
86059,9,2,22583.0565,23606.267506,2,125,2,25,6,5,5,1.32,1,2
86060,9,2,37327.60633,37288.02211,1,125,2,68,3,2,1,2.2,3,2
86061,9,2,116866.732807,119296.980335,2,125,1,37,3,3,4,2.53,1,2
86062,9,2,14132.697005,15102.785876,2,132,1,80,3,4,1,2.75,3,2
86063,9,2,33363.106244,33600.472404,1,125,1,64,3,3,1,0.63,2,1
86065,9,2,32201.364304,32161.805407,2,126,1,69,3,3,1,2.03,3,2
86067,9,2,19910.104829,20223.170989,1,124,1,51,2,1,3,0.75,2,1
86068,9,2,16388.707789,16018.92295,2,132,1,20,7,4,5,0.58,1,1
86069,9,2,32600.554435,32565.983039,2,132,2,63,3,4,2,1.53,2,2
86070,9,2,15242.646941,14998.358139,2,126,1,52,4,3,5,0,2,1
86071,9,2,27701.586004,28976.686059,2,121,2,38,1,3,6,1.23,1,1
86082,9,2,22989.384906,23361.701895,1,124,2,49,2,4,1,2.68,2,2
86083,9,2,48239.798987,50779.456974,1,130,2,73,3,4,2,2.38,3,2
86087,9,2,22381.025078,23411.220472,1,120,2,31,1,4,6,2.36,1,2
86088,9,2,40821.386403,54083.90865,2,126,2,80,3,1,2,3.81,3,3
86090,9,2,54936.503726,55594.909237,2,126,2,26,3,3,6,4.22,1,3
86093,9,2,140664.651874,138195.845878,2,124,2,66,3,4,1,5,3,3
86094,9,2,17866.924202,16890.249897,2,124,1,28,6,5,6,1.07,1,1
86096,9,2,15219.224871,15946.240213,2,119,1,49,6,5,1,5,2,3
86097,9,2,42079.080325,44348.069452,2,121,2,80,3,4,1,1.21,3,1
86098,9,2,150976.227402,156895.650565,2,124,1,56,3,3,1,5,2,3
86100,9,2,26689.378359,27745.104018,1,128,1,33,1,2,1,0.48,1,1
86102,9,2,39140.067751,38896.443076,2,130,2,52,3,4,3,0.97,2,1
86104,9,2,22476.245751,22116.026482,1,126,1,53,4,3,5,0.04,2,1
86105,9,2,34850.604131,35205.682195,2,132,2,23,4,5,5,0.69,1,1
86109,9,2,118600.431044,117472.437133,1,123,1,64,3,5,4,5,2,3
86112,9,2,13953.982437,15844.654821,2,131,1,80,3,3,1,1.35,3,2
86113,9,2,83092.735365,82198.313968,2,128,2,47,3,5,1,5,2,3
86118,9,2,11053.351653,11578.992834,1,121,2,70,1,3,2,0.81,3,1
86120,9,2,8317.804406,10095.927374,2,123,2,67,2,1,6,0.42,3,1
86121,9,2,32682.473652,32608.644662,2,131,1,23,4,3,5,0.42,1,1
86123,9,2,112590.956352,115699.452062,2,124,2,36,3,5,1,5,1,3
86125,9,2,25881.089852,28584.406715,2,130,1,36,1,2,1,1.83,1,2
86126,9,2,75178.155446,80819.112454,1,131,1,26,3,5,1,4.67,1,3
86127,9,2,22004.445707,22051.690445,2,126,2,46,4,2,5,0.5,2,1
86129,9,2,11917.618378,12175.081329,2,130,2,70,1,4,5,0.76,3,1
86132,9,2,53333.724409,53708.604685,1,125,2,59,3,3,1,1.48,2,2
86137,9,2,94495.847574,97364.470187,2,126,1,47,3,4,3,3.22,2,2
86143,9,2,19736.58115,22445.997369,1,129,2,57,1,5,1,3.73,2,3
86144,9,2,28034.779509,27757.33553,2,125,1,25,4,5,5,1.26,1,1
86146,9,2,20808.863392,21802.893183,2,122,1,40,6,5,1,0,2,1
86149,9,2,26356.849663,26765.699354,2,123,2,54,4,3,1,2.88,2,2
86150,9,2,15415.161445,15458.649912,1,133,2,47,2,2,1,5,2,3
86151,9,2,30663.347664,36006.593585,2,129,1,80,7,3,1,5,3,3
86152,9,2,16657.866066,16973.987607,2,122,1,25,6,4,5,2.81,1,2
86156,9,2,7080.764712,6779.995423,1,119,2,61,2,1,6,1.7,2,2
86157,9,2,34769.239129,37779.516659,1,130,1,80,3,4,1,3.14,3,2
86158,9,2,33122.636459,32766.099938,2,130,2,45,3,3,3,0.31,2,1
86163,9,2,110352.217283,114244.27164,2,122,2,73,3,5,2,5,3,3
86165,9,2,8083.00136,8295.484674,1,120,1,65,1,1,1,0.41,3,1
86167,9,2,18047.798413,19680.86701,1,133,2,36,1,4,6,5,1,3
86168,9,2,45307.376885,48417.341109,1,130,1,80,3,4,1,2.18,3,2
86169,9,2,25700.663939,26104.67954,2,120,2,46,6,5,1,3.25,2,2
86172,9,2,68588.243841,70481.879606,2,123,2,33,3,1,1,3.23,1,2
86173,9,2,39116.887434,39930.324387,2,121,1,31,3,4,1,4.06,1,3
86175,9,2,20459.12059,20571.890041,1,120,1,33,6,5,5,3.06,1,2
86176,9,2,24494.468888,24627.118808,1,120,1,33,1,1,6,1.06,1,1
86177,9,2,114675.935002,117841.994369,1,122,2,38,3,5,3,2.56,1,2
86178,9,2,10948.098506,13480.72066,2,126,1,69,4,1,4,0.88,3,1
86181,9,2,146711.103575,150271.216063,1,129,2,42,3,5,1,3.38,2,2
86182,9,2,20713.196653,20633.304348,2,121,1,54,1,3,1,5,2,3
86183,9,2,26110.121451,25982.665885,2,131,1,46,3,3,1,1.07,2,1
86185,9,2,143022.683507,148630.266901,2,123,1,53,3,3,1,3.6,2,3
86186,9,1,13915.032264,0,1,124,2,55,2,4,1,1.88,2,2
86188,9,2,32773.066707,31757.039093,2,128,2,30,4,5,5,2.5,1,2
86189,9,2,66562.669128,67212.062587,2,132,2,28,3,3,1,0.99,1,1
86190,9,2,30903.149414,30969.500152,1,132,2,54,4,4,5,1.29,2,1
86191,9,2,26774.129986,27046.920272,2,131,2,29,4,5,5,1.76,1,2
86192,9,2,17066.100402,17102.742245,2,119,2,59,4,3,2,0.94,2,1
86196,9,2,37414.506446,38620.794257,1,122,2,55,3,4,2,1.76,2,2
86197,9,2,7921.486383,9698.654238,1,129,1,62,2,2,4,1.53,2,2
86200,9,2,16034.843442,16069.27112,2,119,2,48,7,1,2,0.91,2,1
86201,9,2,41989.510041,43886.692375,2,124,2,80,3,4,2,2.57,3,2
86203,9,2,98234.565093,97755.036794,1,131,1,48,3,3,1,5,2,3
86205,9,2,102303.14858,122877.929669,1,120,1,25,3,4,5,3.82,1,3
86208,9,2,138464.477535,166220.401138,2,121,1,53,3,5,1,5,2,3
86209,9,2,22491.003362,24121.614715,1,124,1,31,2,5,3,1.24,1,1
86210,9,2,25101.004083,26591.832371,1,132,2,47,4,3,1,2.49,2,2
86212,9,2,31115.352179,32227.312427,1,124,2,32,1,3,4,0.25,1,1
86213,9,2,18759.82446,18863.227493,2,122,1,39,6,1,1,1.77,1,2
86214,9,2,11085.152311,10745.266811,1,127,2,80,2,1,3,0.61,3,1
86215,9,2,155950.596027,154467.369354,2,130,1,63,3,2,1,5,2,3
86219,9,2,18207.239069,24672.804618,1,133,2,60,6,4,1,0.13,2,1
86220,9,2,18138.468916,19152.353841,2,131,1,38,4,4,6,0.92,1,1
86221,9,2,16635.967523,17097.808681,1,125,2,57,2,1,4,0.02,2,1
86223,9,2,15638.839106,17359.263295,2,127,2,77,2,1,1,0.79,3,1
86225,9,2,34769.239129,37779.516659,1,130,1,80,3,5,1,1.88,3,2
86226,9,2,82754.857302,83562.22371,1,132,2,23,3,4,5,1.7,1,2
86227,9,2,16427.803101,16410.133822,1,123,2,70,4,4,3,1.38,3,2
86231,9,2,25051.961444,24650.462042,1,129,1,50,4,4,1,3.36,2,2
86233,9,1,156064.967711,0,2,130,1,45,3,5,1,5,2,3
86236,9,2,23071.506513,24361.13315,2,132,1,34,4,5,1,2.62,1,2
86237,9,2,11308.97764,11400.745908,1,128,1,80,2,4,1,1.88,3,2
86238,9,2,18115.080905,18153.974966,2,131,2,45,4,5,1,0.99,2,1
86239,9,2,44583.936281,56461.22314,1,125,2,57,3,3,1,0.65,2,1
86241,9,2,16995.284577,16977.004931,1,125,2,73,4,5,5,2.08,3,2
86242,9,2,9845.729657,9585.755282,1,123,2,62,2,3,1,1.32,2,2
86243,9,2,12669.864135,12590.267329,2,125,1,62,4,4,1,4.92,2,3
86245,9,2,22206.400376,22260.333221,1,123,2,47,3,3,1,0.43,2,1
86247,9,2,82150.781979,86475.735523,1,130,2,78,3,4,1,1.88,3,2
86255,9,2,11252.311968,12490.175569,1,128,2,74,1,1,2,0.18,3,1
86258,9,2,49050.060431,52126.766231,2,132,2,80,3,3,2,0.28,3,1
86259,9,2,101813.270541,101232.29798,2,121,2,43,3,5,1,2.7,2,2
86260,9,2,55109.144427,55769.61901,1,120,2,26,3,3,6,2.99,1,2
86261,9,2,78185.281664,83866.766993,1,131,1,24,3,3,6,5,1,3
